,name,var,price
0,鎧勝-KY 電腦及週邊設備業,0.36,87.4
1,隆達 光電業,0.36,22.54
2,高興昌 鋼鐵工業,0.36,14.1
3,一詮 光電業,0.37,20.35
4,三晃 化學工業,0.37,11.9
5,三洋紡 紡織纖維,0.37,9.69
6,上銀 電機機械,0.37,386.0
7,中石化 塑膠工業,0.37,9.33
8,仲琦 通信網路業,0.37,24.75
9,信昌化 化學工業,0.37,17.89
10,元晶 光電業,0.37,40.5
11,光鋐 光電業,0.37,19.5
12,全台 光電業,0.37,18.6
13,冠星-KY 紡織纖維,0.37,155.0
14,台郡 電子零組件業,0.37,120.0
15,合勤控 通信網路業,0.37,33.25
16,嘉澤 電子零組件業,0.37,466.5
17,圓剛 電腦及週邊設備業,0.37,48.54
18,大同 電機機械,0.37,27.6
19,希華 電子零組件業,0.37,23.6
20,康普 化學工業,0.37,62.5
21,志聖 電子零組件業,0.37,36.59
22,星通 通信網路業,0.37,42.75
23,東和 紡織纖維,0.37,14.1
24,楠梓電 電子零組件業,0.37,31.35
25,永冠-KY 電機機械,0.37,81.09
26,泰碩 電子零組件業,0.37,64.19
27,海華 通信網路業,0.37,28.35
28,精英 電腦及週邊設備業,0.37,23.4
29,聯傑 半導體業,0.37,23.1
30,聯詠 半導體業,0.37,323.0
31,華晶科 光電業,0.37,33.2
32,菱生 半導體業,0.37,13.8
33,農林 貿易百貨業,0.37,17.04
34,鈞泰 光電業,0.37,5.18
35,錩新 電子零組件業,0.37,19.89
36,錸德 光電業,0.37,10.8
37,鴻準 其他電子業,0.37,51.9
38,鼎炫-KY 其他業,0.37,144.5
39,云辰 其他電子業,0.38,14.65
40,亞光 光電業,0.38,73.59
41,京元電子 半導體業,0.38,34.0
42,今國光 光電業,0.38,34.59
43,佰鴻 光電業,0.38,14.65
44,佳必琪 電子零組件業,0.38,36.9
45,偉聯 電腦及週邊設備業,0.38,7.99
46,凌陽 半導體業,0.38,17.1
47,凱羿-KY 貿易百貨業,0.38,37.54
48,利勤 紡織纖維,0.38,28.04
49,力銘 電子零組件業,0.38,12.6
50,南電 電子零組件業,0.38,173.0
51,友達 光電業,0.38,14.5
52,同欣電 半導體業,0.38,186.0
53,同泰 電子零組件業,0.38,15.3
54,奇力新 電子零組件業,0.38,118.0
55,奇鋐 電腦及週邊設備業,0.38,67.4
56,威致 鋼鐵工業,0.38,22.54
57,宏洲 紡織纖維,0.38,8.6
58,宜進 紡織纖維,0.38,14.6
59,建漢 通信網路業,0.38,17.89
60,彩晶 光電業,0.38,12.6
61,新美齊 電腦及週邊設備業,0.38,11.2
62,日勝生 建材營造業,0.38,12.0
63,映泰 電腦及週邊設備業,0.38,18.7
64,晶碩 生技醫療業,0.38,277.0
65,永崴投控 電腦及週邊設備業,0.38,34.95
66,益航 貿易百貨業,0.38,11.0
67,立隆電 電子零組件業,0.38,61.09
68,統領 貿易百貨業,0.38,43.2
69,美利達 其他業,0.38,247.0
70,義隆 半導體業,0.38,137.5
71,聯昌 電子零組件業,0.38,12.35
72,華孚 電腦及週邊設備業,0.38,17.39
73,超眾 電腦及週邊設備業,0.38,213.0
74,遠雄港 航運業,0.38,29.45
75,順德 半導體業,0.38,75.4
76,上緯投控 化學工業,0.39,145.5
77,中揚光 光電業,0.39,54.29
78,健策 電子零組件業,0.39,262.0
79,全友 電腦及週邊設備業,0.39,8.61
80,喬鼎 電腦及週邊設備業,0.39,10.9
81,嘉威 其他業,0.39,108.0
82,大毅 電子零組件業,0.39,76.19
83,宏齊 光電業,0.39,15.6
84,富鼎 半導體業,0.39,48.15
85,廣宇 電子零組件業,0.39,22.54
86,新建 建材營造業,0.39,5.24
87,易華電 半導體業,0.39,51.5
88,景碩 半導體業,0.39,84.4
89,晶彩科 光電業,0.39,20.2
90,智原 半導體業,0.39,49.95
91,東森 貿易百貨業,0.39,17.04
92,瑞昱 半導體業,0.39,408.0
93,矽創 半導體業,0.39,153.5
94,矽統 半導體業,0.39,17.79
95,立積 半導體業,0.39,370.0
96,美時 生技醫療業,0.39,83.69
97,群創 光電業,0.39,13.8
98,聯合再生 光電業,0.39,13.9
99,華夏 塑膠工業,0.39,22.9
100,華建 建材營造業,0.39,14.0
101,誠研 電腦及週邊設備業,0.39,5.09
102,貿聯-KY 其他電子業,0.39,242.5
103,迅杰 半導體業,0.39,13.5
104,達運 光電業,0.39,13.7
105,鄉林 建材營造業,0.39,17.2
106,金像電 電子零組件業,0.39,56.2
107,京鼎 半導體業,0.4,210.5
108,億麗 其他業,0.4,3.0
109,兆赫 通信網路業,0.4,19.45
110,全宇生技-KY 生技醫療業,0.4,37.84
111,冠德 建材營造業,0.4,33.75
112,創意 半導體業,0.4,321.0
113,可成 其他電子業,0.4,203.5
114,台光電 電子零組件業,0.4,155.0
115,台勝科 半導體業,0.4,136.0
116,嘉聯益 電子零組件業,0.4,35.75
117,太極 光電業,0.4,27.79
118,寶齡富錦 生技醫療業,0.4,85.0
119,康控-KY 電子零組件業,0.4,87.19
120,捷泰 電子零組件業,0.4,48.2
121,泰福-KY 生技醫療業,0.4,40.34
122,燿華 電子零組件業,0.4,22.54
123,環科 電子零組件業,0.4,23.85
124,總太 建材營造業,0.4,38.4
125,聚隆 紡織纖維,0.4,16.6
126,華冠 通信網路業,0.4,4.01
127,華邦電 半導體業,0.4,24.04
128,虹揚-KY 半導體業,0.4,15.35
129,飛宏 電子零組件業,0.4,16.7
130,麗正 半導體業,0.4,27.79
131,麗豐-KY 生技醫療業,0.4,196.5
132,偉詮電 半導體業,0.41,51.29
133,凌巨 光電業,0.41,11.8
134,凱美 電子零組件業,0.41,73.69
135,動力-KY 電腦及週邊設備業,0.41,63.5
136,十銓 半導體業,0.41,38.0
137,台南-KY 貿易百貨業,0.41,49.95
138,國揚 建材營造業,0.41,25.85
139,大立光 光電業,0.41,3305.0
140,宏達電 通信網路業,0.41,31.35
141,旭暉應材 其他電子業,0.41,37.79
142,晶豪科 半導體業,0.41,57.5
143,櫻花建 建材營造業,0.41,30.04
144,浩鑫 電腦及週邊設備業,0.41,11.85
145,矽力-KY 半導體業,0.41,2470.0
146,統懋 半導體業,0.41,26.79
147,聯鈞 其他電子業,0.41,70.4
148,興能高 其他電子業,0.41,52.0
149,華泰 半導體業,0.41,15.05
150,華通 電子零組件業,0.41,44.15
151,達能 半導體業,0.41,18.1
152,首利 電子零組件業,0.41,5.42
153,鼎元 光電業,0.41,15.9
154,佳和 紡織纖維,0.42,28.85
155,億光 光電業,0.42,37.2
