,name,var,price
0,國泰金乙特 金融保險業,0.02,62.4
1,中信金丙特 金融保險業,0.03,61.29
2,中信金乙特 金融保險業,0.03,63.5
3,中租-KY甲特 其他業,0.03,99.09
4,國泰特 金融保險業,0.03,62.09
5,富邦特 金融保險業,0.03,61.79
6,富邦金乙特 金融保險業,0.03,62.4
7,聯邦銀甲特 金融保險業,0.03,51.7
8,裕融甲特 其他業,0.03,51.0
9,台新戊特 金融保險業,0.04,52.5
10,新光金甲特 金融保險業,0.04,43.34
11,大聯大甲特 電子通路業,0.05,50.09
12,新光金乙特 金融保險業,0.05,41.95
13,王道銀甲特 金融保險業,0.06,10.15
14,華票 金融保險業,0.09,14.8
15,中鋼特 鋼鐵工業,0.1,50.79
16,第一店 觀光事業,0.1,13.85
17,上海商銀 金融保險業,0.13,40.2
18,大豐電 其他業,0.13,42.59
19,群益期 金融保險業,0.13,38.09
20,慧洋-KY 航運業,0.14,23.75
21,全國電 電子通路業,0.15,72.19
22,聲寶 電器電纜,0.15,25.6
23,台富 紡織纖維,0.16,8.27
24,台數科 其他業,0.16,112.0
25,台灣高鐵 航運業,0.16,30.65
26,燦坤 電子通路業,0.16,19.1
27,環泥 水泥工業,0.16,23.04
28,超豐 半導體業,0.16,53.9
29,三商壽 金融保險業,0.17,8.3
30,三星 鋼鐵工業,0.17,48.45
31,中華電 通信網路業,0.17,109.5
32,亞弘電 其他電子業,0.17,37.59
33,國喬特 塑膠工業,0.17,30.75
34,大統益 食品工業,0.17,128.5
35,威宏-KY 其他業,0.17,50.0
36,富林-KY 塑膠工業,0.17,58.5
37,新保 其他業,0.17,37.2
38,永新-KY 汽車工業,0.17,63.2
39,三能-KY 其他業,0.18,39.04
40,中保科 其他業,0.18,86.9
41,中聯資源 其他業,0.18,46.54
42,凱撒衛 玻璃陶瓷,0.18,33.0
43,可寧衛 其他業,0.18,161.5
44,台汽電 油電燃氣業,0.18,38.5
45,台灣大 通信網路業,0.18,99.3
46,基泰 建材營造業,0.18,10.1
47,大台北 油電燃氣業,0.18,34.5
48,天仁 食品工業,0.18,35.95
49,安馳 電子通路業,0.18,42.59
50,山林水 其他業,0.18,41.25
51,漢翔 航運業,0.18,29.1
52,潤弘 建材營造業,0.18,64.69
53,美吉吉-KY 其他業,0.18,64.9
54,遠傳 通信網路業,0.18,60.59
55,關貿 資訊服務業,0.18,48.09
56,阿瘦 貿易百貨業,0.18,11.4
57,雲品 觀光事業,0.18,41.59
58,jpp-KY 其他業,0.19,35.09
59,中再保 金融保險業,0.19,22.4
60,台產 金融保險業,0.19,20.1
61,國票金 金融保險業,0.19,12.7
62,夏都 觀光事業,0.19,26.35
63,富邦金 金融保險業,0.19,46.0
64,山隆 油電燃氣業,0.19,31.6
65,政伸 其他業,0.19,71.0
66,新天地 觀光事業,0.19,11.25
67,新海 油電燃氣業,0.19,49.09
68,永記 化學工業,0.19,71.4
69,王道銀行 金融保險業,0.19,6.52
70,皇鼎 建材營造業,0.19,16.1
71,茂順 其他業,0.19,67.8
72,融程電 電腦及週邊設備業,0.19,73.3
73,裕融 其他業,0.19,99.5
74,中鋼 鋼鐵工業,0.2,24.45
75,信錦 電子零組件業,0.2,84.69
76,全國 油電燃氣業,0.2,51.79
77,基士德-KY 其他業,0.2,63.7
78,大飲 食品工業,0.2,7.52
79,威健 電子通路業,0.2,19.29
80,客思達-KY 貿易百貨業,0.2,21.54
81,寒舍 觀光事業,0.2,24.95
82,欣天然 油電燃氣業,0.2,37.59
83,欣陸 建材營造業,0.2,20.75
84,氣立 電機機械,0.2,49.4
85,泰昇-KY 其他業,0.2,120.0
86,華航 航運業,0.2,12.15
87,華電 電器電纜,0.2,28.4
88,順天 建材營造業,0.2,21.6
89,飛捷 電腦及週邊設備業,0.2,61.4
90,高林 貿易百貨業,0.2,14.7
91,信大 水泥工業,0.21,19.79
92,全科 電子通路業,0.21,22.9
93,勝一 化學工業,0.21,107.0
94,商億-KY 其他業,0.21,98.59
95,基勝-KY 其他業,0.21,47.0
96,增你強 電子通路業,0.21,22.0
97,士電 電機機械,0.21,50.9
98,富爾特 通信網路業,0.21,17.35
99,展宇 化學工業,0.21,15.9
100,永信 生技醫療業,0.21,44.54
101,研揚 電腦及週邊設備業,0.21,74.09
102,禾聯碩 電器電纜,0.21,109.5
103,第一金 金融保險業,0.21,20.75
104,群電 電子零組件業,0.21,71.69
105,聚亨 鋼鐵工業,0.21,6.45
106,華榮 電器電纜,0.21,13.3
107,裕民 航運業,0.21,34.0
108,豐藝 電子通路業,0.21,35.34
109,鑫永銓 橡膠工業,0.21,86.8
110,一零四 資訊服務業,0.22,153.0
111,三洋電 電器電纜,0.22,35.84
112,三福化 化學工業,0.22,66.0
113,上福 電腦及週邊設備業,0.22,28.6
114,伸興 電機機械,0.22,140.5
115,佳醫 生技醫療業,0.22,56.09
116,冠西電 光電業,0.22,31.2
117,台南 紡織纖維,0.22,17.89
118,台船 航運業,0.22,28.15
119,味全 食品工業,0.22,21.0
120,宅配通 航運業,0.22,33.84
121,岱宇 生技醫療業,0.22,113.5
122,年興 紡織纖維,0.22,16.7
123,廣越 紡織纖維,0.22,103.0
124,志超 電子零組件業,0.22,44.0
125,日勝化 化學工業,0.22,16.89
126,普安 其他電子業,0.22,12.2
127,永光 化學工業,0.22,16.35
128,特力 貿易百貨業,0.22,26.54
129,福貞-KY 其他業,0.22,13.9
130,穎漢 電機機械,0.22,16.85
131,聯邦銀 金融保險業,0.22,10.55
132,華南金 金融保險業,0.22,17.64
133,華立 電子通路業,0.22,75.8
134,運錩 鋼鐵工業,0.22,18.5
135,達新 塑膠工業,0.22,70.59
136,鎰勝 電子零組件業,0.22,41.84
137,鑫禾 電子零組件業,0.22,46.79
138,雙鍵 化學工業,0.22,64.9
139,中碳 化學工業,0.23,102.0
140,偉全 紡織纖維,0.23,12.85
141,台塑 塑膠工業,0.23,88.19
142,台塑化 油電燃氣業,0.23,92.8
143,吉源-KY 其他業,0.23,15.0
144,大華 其他業,0.23,22.9
145,好樂迪 觀光事業,0.23,63.79
146,宏亞 食品工業,0.23,13.95
147,帝寶 汽車工業,0.23,53.4
148,欣高 油電燃氣業,0.23,42.79
149,海光 鋼鐵工業,0.23,16.45
150,玉山金 金融保險業,0.23,25.15
151,王品 觀光事業,0.23,138.0
152,界霖 半導體業,0.23,63.79
153,科定 其他業,0.23,48.59
154,臺鹽 食品工業,0.23,33.09
155,隆大 建材營造業,0.23,15.35
156,高雄銀 金融保險業,0.23,10.19
157,黑松 食品工業,0.23,33.0
158,中宇 電機機械,0.24,34.04
159,亞太電 通信網路業,0.24,10.6
160,亞翔 其他電子業,0.24,27.85
161,六暉-KY 汽車工業,0.24,44.29
162,南亞 塑膠工業,0.24,67.5
163,台中銀 金融保險業,0.24,10.8
164,合庫金 金融保險業,0.24,19.85
165,和益 化學工業,0.24,15.2
166,嘉彰 光電業,0.24,37.65
167,宇瞻 半導體業,0.24,38.84
168,宏正 電腦及週邊設備業,0.24,83.19
169,復盛應用 其他業,0.24,177.5
170,德淵 化學工業,0.24,14.9
171,日電貿 電子零組件業,0.24,48.65
172,春源 鋼鐵工業,0.24,13.95
173,昶和 紡織纖維,0.24,13.5
174,東台 電機機械,0.24,15.05
175,永固-KY 建材營造業,0.24,80.09
176,炎洲 塑膠工業,0.24,16.04
177,盛餘 鋼鐵工業,0.24,22.1
178,福壽 食品工業,0.24,19.35
179,福懋 紡織纖維,0.24,30.29
180,第一保 金融保險業,0.24,13.1
181,統一證 金融保險業,0.24,16.89
182,維熹 電子零組件業,0.24,49.2
183,聚碩 資訊服務業,0.24,43.45
184,聚陽 紡織纖維,0.24,190.5
185,聚鼎 電子零組件業,0.24,91.0
186,花仙子 化學工業,0.24,70.69
187,陞泰 電子通路業,0.24,28.1
188,雄獅 觀光事業,0.24,79.3
189,中信金 金融保險業,0.25,19.29
190,中租-KY 其他業,0.25,164.0
191,中鋼構 鋼鐵工業,0.25,32.59
192,佳格 食品工業,0.25,60.5
193,兆豐金 金融保險業,0.25,29.5
194,光群雷 其他電子業,0.25,19.14
195,南寶 化學工業,0.25,156.5
196,台化 塑膠工業,0.25,78.3
197,台新金 金融保險業,0.25,13.1
198,四維航 航運業,0.25,9.08
199,國精化 化學工業,0.25,31.7
200,富邦媒 貿易百貨業,0.25,616.0
201,巨路 其他電子業,0.25,68.19
202,廣隆 電機機械,0.25,141.5
203,建新國際 航運業,0.25,27.15
204,弘裕 紡織纖維,0.25,12.65
205,恆大 塑膠工業,0.25,90.09
206,承業醫 生技醫療業,0.25,38.54
207,拓凱 其他業,0.25,155.0
208,振樺電 電腦及週邊設備業,0.25,77.59
209,新產 金融保險業,0.25,38.2
210,昭輝 汽車工業,0.25,41.0
211,東明-KY 鋼鐵工業,0.25,37.59
212,榮星 電器電纜,0.25,14.3
213,正隆 造紙工業,0.25,31.35
214,神腦 通信網路業,0.25,29.35
215,福興 其他業,0.25,45.09
216,競國 電子零組件業,0.25,20.45
217,精誠 資訊服務業,0.25,87.0
218,統一超 貿易百貨業,0.25,268.0
219,聯華食 食品工業,0.25,45.09
220,臺企銀 金融保險業,0.25,9.43
221,興泰 食品工業,0.25,24.29
222,華友聯 建材營造業,0.25,38.2
223,華廣 生技醫療業,0.25,68.09
224,萬企 觀光事業,0.25,12.0
225,遠雄來 觀光事業,0.25,47.15
226,開發金 金融保險業,0.25,9.03
227,偉訓 電子零組件業,0.26,43.5
228,億豐 其他業,0.26,328.5
229,元大金 金融保險業,0.26,19.54
230,元禎 化學工業,0.26,15.7
231,光隆精密-KY 汽車工業,0.26,37.29
232,凌群 資訊服務業,0.26,18.0
233,台榮 食品工業,0.26,12.05
234,吉茂 汽車工業,0.26,25.75
235,味王 食品工業,0.26,37.09
236,喬福 電機機械,0.26,15.5
237,國泰金 金融保險業,0.26,41.2
238,大宇 紡織纖維,0.26,11.2
