,name,var,price
0,大洋-KY 貿易百貨業,0.26,21.15
1,強信-KY 電機機械,0.26,43.5
2,彰銀 金融保險業,0.26,17.14
3,志信 航運業,0.26,8.53
4,所羅門 其他電子業,0.26,18.79
5,敦陽科 資訊服務業,0.26,65.8
6,文曄 電子通路業,0.26,40.09
7,新至陞 電子零組件業,0.26,112.5
8,新麗 其他業,0.26,22.0
9,昇貿 其他電子業,0.26,29.04
10,時碩工業 電機機械,0.26,43.0
11,杏輝 生技醫療業,0.26,29.85
12,橋椿 其他業,0.26,23.75
13,欣欣 貿易百貨業,0.26,24.5
14,永裕 塑膠工業,0.26,32.84
15,永豐金 金融保險業,0.26,11.1
16,碩天 其他電子業,0.26,86.4
17,程泰 電機機械,0.26,60.9
18,群益證 金融保險業,0.26,12.7
19,詮欣 電子零組件業,0.26,46.04
20,達麗 建材營造業,0.26,30.79
21,遠東銀 金融保險業,0.26,10.65
22,金橋 電子零組件業,0.26,9.41
23,鈞興-KY 電機機械,0.26,75.0
24,震旦行 其他電子業,0.26,89.0
25,龍燈-KY 生技醫療業,0.26,12.2
26,世紀鋼 鋼鐵工業,0.27,112.0
27,中華 汽車工業,0.27,47.7
28,互盛電 其他電子業,0.27,51.9
29,五鼎 生技醫療業,0.27,23.95
30,亞航 航運業,0.27,17.2
31,倉佑 汽車工業,0.27,22.45
32,全漢 電子零組件業,0.27,42.0
33,利華 紡織纖維,0.27,15.35
34,力達-KY 電機機械,0.27,34.29
35,勝德 電子零組件業,0.27,16.5
36,台硝 化學工業,0.27,12.85
37,台苯 塑膠工業,0.27,17.6
38,台驊投控 航運業,0.27,40.34
39,和泰車 汽車工業,0.27,626.0
40,嘉泥 水泥工業,0.27,18.45
41,固緯 其他電子業,0.27,23.79
42,國化 化學工業,0.27,18.75
43,國賓 觀光事業,0.27,30.15
44,大成 食品工業,0.27,46.45
45,宏全 其他業,0.27,58.4
46,居易 通信網路業,0.27,25.65
47,川湖 電子零組件業,0.27,299.5
48,幸福 水泥工業,0.27,11.65
49,康那香 其他業,0.27,31.1
50,建國 建材營造業,0.27,12.7
51,愛之味 食品工業,0.27,8.67
52,愛普 半導體業,0.27,390.5
53,揚博 電子零組件業,0.27,34.0
54,敦吉 電子通路業,0.27,45.59
55,日友 其他業,0.27,237.0
56,晶華 觀光事業,0.27,138.5
57,材料-KY 化學工業,0.27,125.0
58,東和鋼鐵 鋼鐵工業,0.27,35.29
59,柏文 觀光事業,0.27,157.0
60,歐格 電腦及週邊設備業,0.27,14.15
61,泰銘 其他業,0.27,29.4
62,漢平 其他電子業,0.27,30.75
63,潤泰全 貿易百貨業,0.27,70.0
64,瀚荃 電子零組件業,0.27,34.54
65,生達 生技醫療業,0.27,37.0
66,益登 電子通路業,0.27,22.95
67,盟立 其他電子業,0.27,42.54
68,福懋科 半導體業,0.27,37.25
69,聯華 食品工業,0.27,41.45
70,聯陽 半導體業,0.27,68.0
71,興農 化學工業,0.27,20.54
72,艾美特-KY 電器電纜,0.27,22.2
73,裕日車 汽車工業,0.27,261.0
74,訊連 資訊服務業,0.27,100.0
75,豐泰 其他業,0.27,195.0
76,豐興 鋼鐵工業,0.27,65.09
77,鳳凰 觀光事業,0.27,33.09
78,中化生 生技醫療業,0.28,61.5
79,中興電 電機機械,0.28,55.79
80,亞力 電機機械,0.28,26.1
81,佳能 光電業,0.28,13.8
82,信邦 電子零組件業,0.28,206.0
83,元翎 電機機械,0.28,29.95
84,光聖 通信網路業,0.28,29.75
85,南緯 紡織纖維,0.28,19.35
86,台積電 半導體業,0.28,510.0
87,大亞 電器電纜,0.28,19.79
88,宏泰 電器電纜,0.28,18.39
89,寶一 電機機械,0.28,13.4
90,崇越 電子通路業,0.28,120.0
91,工信 建材營造業,0.28,10.35
92,廣華-KY 汽車工業,0.28,55.29
93,德律 其他電子業,0.28,57.0
94,捷敏-KY 半導體業,0.28,63.5
95,昇陽 建材營造業,0.28,15.35
96,春雨 鋼鐵工業,0.28,18.39
97,東泥 水泥工業,0.28,17.7
98,東鹼 化學工業,0.28,23.04
99,永豐餘 造紙工業,0.28,24.7
100,泰鼎-KY 電子零組件業,0.28,70.5
101,瑞智 電機機械,0.28,20.6
102,百容 電子零組件業,0.28,19.45
103,神隆 生技醫療業,0.28,27.9
104,精技 電子通路業,0.28,25.9
105,統一 食品工業,0.28,66.5
106,美亞 鋼鐵工業,0.28,18.79
107,美吾華 生技醫療業,0.28,16.89
108,華東 半導體業,0.28,12.95
109,達興材料 光電業,0.28,87.19
110,遠雄 建材營造業,0.28,55.0
